area_sqft,bhk,locality,location_type,age_of_property,furnishing,latitude,longitude,price,listing_type
2481,3,Bellandur,URBAN,14,Semi-Furnished,12.949444147123504,77.62489527713537,51671,RENT
3819,5,Koramangala,URBAN,18,Furnished,12.936475007610039,77.76976284828679,42307124,SALE
1974,3,HSR Layout,URBAN,14,Semi-Furnished,12.80270100497703,77.69817210678639,16574572,SALE
649,1,Whitefield,URBAN,4,Furnished,12.918680142456754,77.55616599414623,6125796,SALE
1073,1,Bellandur,URBAN,18,Semi-Furnished,12.976195943051625,77.53481305062071,22161,RENT
4933,5,Indiranagar,URBAN,6,Furnished,12.970983414924728,77.60945466965492,150249,RENT
2565,4,HSR Layout,URBAN,5,Furnished,13.024930267500274,77.74799654756583,76164,RENT
1170,3,Koramangala,URBAN,26,Semi-Furnished,13.001112773130602,77.40347169663836,36318,RENT
4362,5,Electronic City,URBAN,18,Semi-Furnished,12.883042039134846,77.68419442731583,60520,RENT
4763,4,Whitefield,RURAL,24,Semi-Furnished,12.876693101467689,77.51780490217511,49842,RENT
2384,3,HSR Layout,RURAL,27,Unfurnished,12.93924253941903,77.48335899208647,8942774,SALE
1477,2,Indiranagar,URBAN,16,Unfurnished,13.019890900316497,77.40485519872671,35576,RENT
635,1,Koramangala,URBAN,9,Semi-Furnished,12.82814819197279,77.75863624825018,7263660,SALE
788,2,Koramangala,RURAL,18,Unfurnished,13.084497974910848,77.76489938800258,5779004,SALE
3437,3,Bellandur,URBAN,10,Furnished,12.962945937111929,77.42456697665753,82445,RENT
2248,3,HSR Layout,URBAN,14,Semi-Furnished,12.891922518480051,77.60872612922054,47933,RENT
3214,3,Indiranagar,URBAN,9,Unfurnished,13.008017369264428,77.46102978346944,77585,RENT
3774,5,Koramangala,URBAN,10,Semi-Furnished,12.81341774487293,77.7034750218593,108501,RENT
3678,5,Whitefield,RURAL,22,Furnished,12.945319074734918,77.66615658870646,17383045,SALE
1652,3,Koramangala,URBAN,2,Furnished,12.945790894239144,77.51885232518207,62874,RENT
4381,5,Indiranagar,URBAN,29,Unfurnished,12.848592585472806,77.44678411241615,86290,RENT
2522,4,Electronic City,URBAN,2,Furnished,13.051216344782565,77.73248826512295,18336143,SALE
4930,5,Electronic City,URBAN,17,Semi-Furnished,13.039043635604076,77.66970099171394,22726916,SALE
2550,4,Bellandur,RURAL,24,Unfurnished,12.845819718336113,77.40272797800102,29440,RENT
1729,3,HSR Layout,URBAN,10,Semi-Furnished,12.909148188069013,77.65114871237444,15896155,SALE
1758,3,Indiranagar,URBAN,19,Semi-Furnished,12.830128866989266,77.72411841107854,44192,RENT
2882,3,Bellandur,URBAN,25,Semi-Furnished,13.054582627051758,77.6363072238306,49016,RENT
4942,5,Koramangala,RURAL,28,Furnished,12.896996031124592,77.56988547067068,28602002,SALE
2417,3,Koramangala,URBAN,21,Semi-Furnished,12.931794892357296,77.63356735141693,23600543,SALE
1731,3,Electronic City,URBAN,17,Furnished,12.89716158500617,77.64788482269894,30147,RENT
4744,5,Bellandur,URBAN,24,Semi-Furnished,12.893007804939487,77.65601384957685,80489,RENT
4661,5,Electronic City,URBAN,14,Furnished,13.024190676124576,77.78681802156174,80988,RENT
1758,2,Whitefield,URBAN,6,Furnished,13.024269870253947,77.47145911502335,14729098,SALE
3577,5,Electronic City,URBAN,9,Furnished,12.955336451144172,77.64923725092557,24340216,SALE
2528,4,Whitefield,URBAN,20,Semi-Furnished,12.997285084797895,77.47519732785187,47997,RENT
2580,4,Koramangala,URBAN,22,Semi-Furnished,12.953498959207387,77.48398268809962,67118,RENT
537,1,Bellandur,URBAN,29,Furnished,12.808576762981914,77.66770315348295,4637512,SALE
3872,5,Whitefield,URBAN,19,Semi-Furnished,12.819801929938981,77.76638163398879,64056,RENT
3232,4,Bellandur,URBAN,28,Furnished,12.91512217085385,77.4636176988397,19926480,SALE
3979,5,Bellandur,URBAN,9,Semi-Furnished,13.024923907588517,77.78498621350256,85859,RENT
3431,3,Whitefield,URBAN,12,Furnished,13.073967868440302,77.52774893040649,24830859,SALE
4564,5,HSR Layout,URBAN,14,Furnished,12.808912491604026,77.55652561738272,114929,RENT
2993,4,Electronic City,URBAN,22,Unfurnished,12.910409015806042,77.46147232957554,36613,RENT
4700,5,Whitefield,URBAN,17,Semi-Furnished,12.867134730834923,77.64633444234066,88122,RENT
4218,5,Koramangala,RURAL,22,Semi-Furnished,13.044561584349639,77.6385681978496,22054113,SALE
4538,5,Bellandur,URBAN,3,Unfurnished,13.053790443396393,77.57690789724106,84489,RENT
4223,5,Indiranagar,RURAL,19,Furnished,12.861922660307568,77.59043655595373,72966,RENT
4442,5,Whitefield,URBAN,16,Furnished,13.013248176030462,77.64919035031475,88185,RENT
2306,3,Electronic City,URBAN,27,Unfurnished,13.019526811190428,77.63339861398575,25456,RENT
1160,2,Bellandur,URBAN,2,Unfurnished,12.853117309034772,77.54970535265937,29881,RENT
3845,5,HSR Layout,URBAN,20,Furnished,12.930108775102472,77.75364575411994,86164,RENT
1299,2,Koramangala,URBAN,20,Semi-Furnished,12.98610134163314,77.66706420925094,12159412,SALE
4855,5,HSR Layout,URBAN,1,Unfurnished,12.80781998207978,77.48216253223993,38792083,SALE
3347,4,Indiranagar,RURAL,3,Unfurnished,12.921377549913766,77.52796119740229,59105,RENT
2119,3,Whitefield,URBAN,0,Unfurnished,12.846487469884286,77.7151512406813,44868,RENT
680,2,Bellandur,RURAL,14,Unfurnished,12.962568950336266,77.44181015240804,3971295,SALE
3666,5,Whitefield,RURAL,24,Unfurnished,13.052875275038286,77.70009279948972,12631507,SALE
2287,3,Electronic City,URBAN,0,Unfurnished,12.957426181587811,77.54353697645833,34028,RENT
3666,5,Whitefield,URBAN,5,Furnished,12.810795078862606,77.62067641844338,28992317,SALE
1066,2,Koramangala,URBAN,6,Furnished,12.808897173679037,77.51222324686914,40900,RENT
4588,5,Indiranagar,RURAL,18,Unfurnished,12.981650943771244,77.79458262872816,72469,RENT
1071,2,HSR Layout,URBAN,11,Furnished,12.898394467557685,77.76233611685691,11972143,SALE
2369,3,Indiranagar,URBAN,0,Semi-Furnished,12.971799951041568,77.7713799347777,70179,RENT
4556,5,Bellandur,URBAN,6,Semi-Furnished,12.849091132674797,77.47391020719101,96527,RENT
3522,5,Whitefield,RURAL,18,Unfurnished,13.033058705850834,77.7366760383847,37673,RENT
4300,5,Bellandur,URBAN,12,Semi-Furnished,13.05821591172007,77.61415884040964,96392,RENT
923,2,HSR Layout,URBAN,25,Semi-Furnished,13.066767680625468,77.68314368010945,7697557,SALE
2793,4,Bellandur,URBAN,11,Furnished,12.891222376649406,77.48700162669618,22948073,SALE
3517,5,Electronic City,RURAL,11,Furnished,12.998220610287419,77.68479385839169,14220001,SALE
2993,4,Indiranagar,URBAN,21,Furnished,12.883712716139078,77.76570689782892,75349,RENT
2368,3,HSR Layout,URBAN,12,Furnished,13.028827046243473,77.50699255433952,21235789,SALE
2153,4,HSR Layout,URBAN,27,Semi-Furnished,12.836157500667898,77.49334394061981,14316555,SALE
2696,4,HSR Layout,RURAL,13,Unfurnished,13.028829443336349,77.4417658193894,11773900,SALE
2661,4,Koramangala,URBAN,21,Furnished,12.93191859129906,77.50672267012467,87624,RENT
2686,3,Indiranagar,RURAL,29,Semi-Furnished,13.056664847130659,77.61431690472625,37929,RENT
4602,5,Bellandur,URBAN,11,Furnished,13.021679257995844,77.73308651657503,101748,RENT
3278,4,HSR Layout,URBAN,19,Semi-Furnished,12.912955892208945,77.51152010506306,62160,RENT
4543,5,Indiranagar,URBAN,11,Furnished,13.071061755608136,77.64845775562773,131774,RENT
4044,5,HSR Layout,RURAL,26,Unfurnished,12.885001141782594,77.59183627966922,15651837,SALE
4832,5,Electronic City,URBAN,5,Furnished,13.090096589430777,77.51543161624711,30470802,SALE
2455,3,Electronic City,RURAL,26,Unfurnished,13.030161015186705,77.60414363247786,6245405,SALE
1676,3,Electronic City,URBAN,9,Furnished,13.097202455381357,77.46718495855835,32060,RENT
3166,4,Whitefield,URBAN,19,Furnished,12.816171384919544,77.65583102393941,20449891,SALE
702,2,HSR Layout,URBAN,28,Furnished,12.88221081376314,77.44626508847354,6869543,SALE
1038,2,Whitefield,URBAN,23,Semi-Furnished,13.022379276954341,77.69239221005729,18339,RENT
455,1,Indiranagar,URBAN,8,Semi-Furnished,13.076674910375113,77.47108507135421,17359,RENT
925,2,Whitefield,URBAN,1,Unfurnished,12.808631245135837,77.79926366132675,22740,RENT
4969,5,Indiranagar,URBAN,6,Unfurnished,12.800002788792677,77.72946903790417,113977,RENT
4523,5,Indiranagar,RURAL,8,Semi-Furnished,12.876872788776875,77.5375361215439,28982710,SALE
2525,4,Indiranagar,URBAN,24,Unfurnished,13.055833602989468,77.57048190891572,57376,RENT
3687,5,Bellandur,URBAN,11,Unfurnished,13.030145930642968,77.50367640844308,73932,RENT
764,1,Whitefield,URBAN,4,Semi-Furnished,12.902083238650658,77.706845824472,18616,RENT
2046,3,Bellandur,URBAN,0,Semi-Furnished,12.800603379303631,77.55229078798311,17351874,SALE
1318,2,HSR Layout,URBAN,21,Semi-Furnished,12.966411722286118,77.70207420392781,10337406,SALE
3197,4,Whitefield,URBAN,14,Semi-Furnished,12.871386641435286,77.40736062187207,21524125,SALE
1931,3,HSR Layout,URBAN,7,Furnished,13.023682678549953,77.45424838380184,20415583,SALE
3745,5,HSR Layout,URBAN,0,Semi-Furnished,12.933904899314788,77.54598973388103,30285148,SALE
2306,2,Indiranagar,URBAN,17,Unfurnished,13.0035805769143,77.44356341335784,48914,RENT
3486,4,Whitefield,URBAN,12,Furnished,13.055692648966486,77.64045119691849,69612,RENT
4980,5,HSR Layout,URBAN,28,Furnished,12.960727939855552,77.42033283941366,103457,RENT
2475,3,Electronic City,URBAN,0,Unfurnished,12.900786662218488,77.74390519783573,12925558,SALE
1113,1,HSR Layout,URBAN,4,Furnished,13.030863063804574,77.70452319950239,32968,RENT
1462,2,Electronic City,URBAN,17,Unfurnished,12.879556171931354,77.48650259169119,7592471,SALE
2376,2,Whitefield,URBAN,15,Furnished,13.06745564483193,77.59351676245188,17358512,SALE
1696,3,Bellandur,URBAN,25,Furnished,12.821428294019881,77.58072523136437,40243,RENT
525,1,Whitefield,URBAN,9,Unfurnished,13.050640592332563,77.68994584613615,12168,RENT
3996,5,Bellandur,URBAN,29,Unfurnished,12.827466718181286,77.5606035601898,51761,RENT
3683,4,Bellandur,URBAN,3,Unfurnished,12.816841094122946,77.41317411913194,73115,RENT
2003,3,Whitefield,URBAN,0,Unfurnished,12.908977081204448,77.50949434353994,13155549,SALE
466,1,HSR Layout,URBAN,22,Semi-Furnished,13.086964806342449,77.58647832209482,4123724,SALE
632,1,Koramangala,URBAN,7,Semi-Furnished,13.09504581625748,77.78979688646426,8644988,SALE
2556,4,HSR Layout,RURAL,4,Unfurnished,12.860621150289848,77.75246346678173,38270,RENT
1569,3,HSR Layout,URBAN,1,Semi-Furnished,12.84459126669862,77.47256245760089,14839254,SALE
2558,5,Indiranagar,URBAN,23,Unfurnished,12.905885999466433,77.6893103761963,57452,RENT
4606,5,Indiranagar,RURAL,16,Unfurnished,12.901126052264322,77.77473018920591,25178294,SALE
1893,3,HSR Layout,URBAN,6,Furnished,13.027877864821392,77.40351704521412,55405,RENT
4407,5,Electronic City,URBAN,16,Unfurnished,12.933199706224018,77.68837826946833,20132090,SALE
2872,4,Bellandur,URBAN,27,Unfurnished,13.033965075720355,77.58373339824446,45155,RENT
3060,4,Indiranagar,URBAN,5,Unfurnished,13.024613929107513,77.67209447851324,73610,RENT
3139,3,HSR Layout,URBAN,28,Unfurnished,12.973493129037777,77.64223570942872,16504374,SALE
2161,2,Koramangala,RURAL,21,Furnished,13.050053629922497,77.79386619778228,41206,RENT
3914,5,Electronic City,URBAN,14,Unfurnished,12.858694323965812,77.51552616251915,17939723,SALE
2375,3,Whitefield,URBAN,4,Furnished,12.848543148698155,77.7144571927477,58184,RENT
2762,4,HSR Layout,URBAN,14,Unfurnished,13.0251950775508,77.49385595532523,20134967,SALE
1276,2,HSR Layout,URBAN,17,Furnished,12.873439118646589,77.57424319102007,36164,RENT
4212,5,Bellandur,URBAN,17,Semi-Furnished,12.800838315146116,77.79015234958696,26599380,SALE
3848,5,Electronic City,RURAL,24,Furnished,13.073588050593361,77.70645451840566,14144177,SALE
1712,3,Indiranagar,RURAL,20,Furnished,12.986881117409919,77.52632850251342,12893139,SALE
1860,2,Indiranagar,URBAN,20,Unfurnished,12.933481309402383,77.64774771323678,13836341,SALE
3109,4,Indiranagar,RURAL,22,Furnished,13.017720953002712,77.41987683340112,53190,RENT
2724,4,Whitefield,URBAN,5,Furnished,12.899999519934585,77.50655796664839,59270,RENT
2133,2,Electronic City,URBAN,1,Unfurnished,13.086099817128625,77.68735619584145,11309105,SALE
2005,3,Electronic City,URBAN,26,Semi-Furnished,12.820586086684225,77.62803742783534,9447568,SALE
2963,4,Indiranagar,URBAN,16,Semi-Furnished,12.992284457198709,77.58786914119071,73568,RENT
3821,5,Indiranagar,URBAN,20,Semi-Furnished,13.033186844858381,77.67635042400639,31776955,SALE
3917,5,Bellandur,URBAN,3,Furnished,12.940737772368053,77.55938355632793,32211378,SALE
2797,4,Koramangala,URBAN,11,Unfurnished,13.02649050651981,77.41046245781297,26849497,SALE
4135,5,Koramangala,URBAN,18,Semi-Furnished,13.078073119363571,77.57641064940623,104215,RENT
3270,3,HSR Layout,URBAN,1,Semi-Furnished,13.023198170203786,77.7608516769173,27862880,SALE
1560,3,HSR Layout,RURAL,25,Semi-Furnished,12.892810060140894,77.74264605132565,22922,RENT
642,1,Electronic City,URBAN,1,Semi-Furnished,12.96855391241576,77.5635988741638,12346,RENT
2990,4,Electronic City,URBAN,13,Unfurnished,13.073481055357886,77.40888857630416,42770,RENT
1463,1,Whitefield,URBAN,14,Semi-Furnished,12.934729317644749,77.65452290904813,8925538,SALE
4724,5,Whitefield,URBAN,19,Furnished,13.004509548474715,77.69647777111315,30999197,SALE
2995,4,Koramangala,URBAN,1,Furnished,12.939654417538662,77.51769743043371,34944434,SALE
1319,2,HSR Layout,URBAN,3,Unfurnished,12.83640324708211,77.59066559984782,32349,RENT
405,1,Koramangala,URBAN,18,Semi-Furnished,12.817579290762882,77.79674271809908,5657695,SALE
867,2,Koramangala,URBAN,8,Semi-Furnished,13.085682187888606,77.63053720519264,10514697,SALE
4570,5,HSR Layout,URBAN,6,Furnished,12.98376253202633,77.54042996226462,115018,RENT
403,1,Whitefield,URBAN,29,Unfurnished,12.831144473936748,77.65099555065605,8535,RENT
1045,3,Bellandur,URBAN,12,Furnished,13.057231567540951,77.47200892274564,31506,RENT
517,1,Bellandur,URBAN,26,Unfurnished,12.956807940953244,77.47970094930983,3902391,SALE
3328,4,Bellandur,URBAN,11,Unfurnished,13.031579633671962,77.7699698858856,21191111,SALE
2951,4,HSR Layout,URBAN,2,Unfurnished,12.838026858687625,77.49568001646773,24293093,SALE
4689,5,Indiranagar,URBAN,12,Furnished,13.072073129548876,77.5243157516863,131456,RENT
1246,2,Indiranagar,RURAL,14,Unfurnished,12.977160631904608,77.6175108967879,7744189,SALE
3162,4,Indiranagar,URBAN,13,Furnished,13.021478204224712,77.75987704811104,89681,RENT
1541,4,Electronic City,URBAN,23,Furnished,12.809413906405057,77.7125795558876,9257357,SALE
2210,4,Whitefield,URBAN,8,Semi-Furnished,12.894591470059702,77.41751356826795,16798236,SALE
1123,2,Whitefield,URBAN,12,Furnished,12.880233624318624,77.67721186755935,9328370,SALE
624,1,Electronic City,URBAN,22,Furnished,13.084878498586361,77.6016245930736,3884269,SALE
4608,5,Koramangala,RURAL,21,Semi-Furnished,12.855601570664101,77.59022113680095,28026091,SALE
2448,4,Bellandur,RURAL,3,Semi-Furnished,13.012115518014228,77.67662334673021,39410,RENT
4815,5,Indiranagar,URBAN,20,Semi-Furnished,12.812826061324788,77.47849281848762,113287,RENT
1973,3,Bellandur,URBAN,7,Unfurnished,12.859305225708273,77.79259546546469,12715007,SALE
2228,3,Indiranagar,URBAN,2,Unfurnished,12.901579206276306,77.65812261210898,22522898,SALE
2317,3,Bellandur,URBAN,1,Semi-Furnished,13.038351754362422,77.54626246984475,62791,RENT
4634,5,Koramangala,URBAN,18,Unfurnished,13.03699297401854,77.64008088322807,38961378,SALE
2426,2,Bellandur,URBAN,27,Semi-Furnished,13.085780558522949,77.48658834531585,43359,RENT
4144,5,Bellandur,URBAN,22,Unfurnished,13.075030250800065,77.65353674594198,22841788,SALE
1301,2,HSR Layout,URBAN,7,Furnished,12.824454378513506,77.41128685629512,13653002,SALE
2439,3,Bellandur,URBAN,16,Unfurnished,13.04896031664341,77.53647276456334,45637,RENT
409,1,HSR Layout,URBAN,12,Unfurnished,12.935352073862004,77.699006758699,12272,RENT
660,2,Whitefield,URBAN,6,Furnished,13.05976582721892,77.72319113964565,7244482,SALE
2073,3,Electronic City,URBAN,8,Semi-Furnished,12.82678587545934,77.50116776532559,32647,RENT
2619,4,Bellandur,RURAL,11,Unfurnished,13.0468307304522,77.615763784512,34002,RENT
2460,3,Whitefield,URBAN,28,Unfurnished,12.847892755700233,77.61139715587565,12487528,SALE
4113,5,HSR Layout,URBAN,13,Furnished,12.900152489020803,77.56858241855072,32136303,SALE
2019,3,Bellandur,URBAN,13,Furnished,12.808654520087007,77.4913731931012,17874710,SALE
720,1,Bellandur,URBAN,14,Furnished,12.837118426456142,77.68129129329151,6326297,SALE
1742,3,Koramangala,URBAN,2,Furnished,12.933717765623715,77.50094467269821,68601,RENT
2776,4,Whitefield,URBAN,14,Semi-Furnished,13.04550150069034,77.76441029486264,18169981,SALE
3232,4,Indiranagar,RURAL,18,Unfurnished,13.032100931409515,77.6114005164474,16951763,SALE
3224,4,Indiranagar,URBAN,23,Unfurnished,12.870589328532894,77.74819133492424,66956,RENT
2394,3,Koramangala,URBAN,19,Unfurnished,12.845507134720785,77.51629708832166,54704,RENT
3358,4,HSR Layout,URBAN,13,Unfurnished,12.916779038894532,77.7228316625035,23404524,SALE
2438,3,Indiranagar,RURAL,7,Semi-Furnished,13.064980504163865,77.44546543396,17492178,SALE
3890,5,Indiranagar,URBAN,4,Unfurnished,12.827427522248902,77.70673213680296,101086,RENT
4077,5,Electronic City,RURAL,29,Semi-Furnished,12.962874203103306,77.55477833997013,10677440,SALE
1518,2,Whitefield,RURAL,18,Semi-Furnished,12.826642243820913,77.58799603552744,18563,RENT
2004,3,HSR Layout,URBAN,3,Furnished,12.941063636349272,77.46672292810383,60635,RENT
4427,5,Bellandur,RURAL,13,Furnished,12.838037453648296,77.40745107540977,65874,RENT
635,1,Whitefield,RURAL,15,Unfurnished,12.82410108049981,77.66647899725132,2969328,SALE
2369,3,HSR Layout,URBAN,19,Semi-Furnished,12.857254799919076,77.63508731336017,18416621,SALE
4829,5,Indiranagar,URBAN,23,Furnished,12.87657680581063,77.64897126082786,124490,RENT
2308,4,Electronic City,URBAN,5,Semi-Furnished,12.882879613739428,77.50200070321077,13748158,SALE
775,1,Whitefield,URBAN,22,Furnished,12.9935803841742,77.49571098515325,17264,RENT
3930,5,Indiranagar,URBAN,24,Semi-Furnished,12.816494562686865,77.7321185245077,30719866,SALE
3035,4,HSR Layout,URBAN,5,Unfurnished,12.82424271797161,77.7045011010373,23988397,SALE
1970,3,Whitefield,URBAN,2,Unfurnished,12.85661184844378,77.53471604633654,42576,RENT
2960,4,Bellandur,URBAN,14,Semi-Furnished,13.061618920754427,77.65512228639027,20448590,SALE
3791,5,Whitefield,URBAN,28,Furnished,12.98858147781897,77.73126000166752,21613391,SALE
3365,5,Indiranagar,RURAL,2,Furnished,13.019110897756386,77.75553177688718,25533243,SALE
4043,5,Whitefield,URBAN,10,Unfurnished,12.911108646667298,77.40232250436371,66848,RENT
4250,5,Bellandur,URBAN,2,Unfurnished,12.863966104721001,77.7253849572539,27632012,SALE
1272,2,Electronic City,URBAN,27,Unfurnished,12.811388408288874,77.54015693369877,17339,RENT
1652,2,Electronic City,URBAN,9,Furnished,12.946560685991567,77.68735131391047,10969854,SALE
1714,2,Indiranagar,RURAL,17,Furnished,12.972284289268194,77.54856054584,10203725,SALE
3298,4,HSR Layout,URBAN,0,Unfurnished,13.069100838313313,77.64249963471761,26553280,SALE
477,1,Indiranagar,URBAN,15,Semi-Furnished,13.064627893624698,77.6587129760024,16841,RENT
3021,4,Electronic City,RURAL,15,Furnished,12.927405547541676,77.5619971083665,32870,RENT
4627,5,Koramangala,RURAL,26,Unfurnished,12.927073378701039,77.6051141324551,56295,RENT
1000,2,Koramangala,URBAN,9,Semi-Furnished,12.848336869014751,77.69052534876766,12056822,SALE
1465,2,Whitefield,URBAN,0,Furnished,12.877234696352778,77.59052210747795,13239480,SALE
2536,4,Bellandur,URBAN,3,Semi-Furnished,13.077699072896268,77.40559219403407,19634204,SALE
2849,4,Whitefield,URBAN,2,Semi-Furnished,12.842310803280562,77.40516167879902,66165,RENT
2743,4,Koramangala,URBAN,4,Furnished,13.090609864023095,77.66452434001975,35351489,SALE
2263,3,Electronic City,URBAN,11,Unfurnished,12.951421565064559,77.73889501498223,10501653,SALE
1718,3,Whitefield,RURAL,24,Semi-Furnished,12.93698203243005,77.7141094150056,21593,RENT
3997,5,Indiranagar,URBAN,11,Unfurnished,12.852391514205907,77.52416012077327,32108978,SALE
4162,5,Bellandur,URBAN,12,Furnished,12.998462375144744,77.58845115399879,101335,RENT
2590,5,Indiranagar,RURAL,23,Semi-Furnished,12.937953655508675,77.49366429604068,13779538,SALE
1392,1,Bellandur,URBAN,11,Semi-Furnished,12.911198920373966,77.79565996426666,10248902,SALE
3112,4,Electronic City,RURAL,24,Semi-Furnished,12.879354865575587,77.5042025797041,8745550,SALE
2592,4,Whitefield,RURAL,15,Semi-Furnished,12.819946040904462,77.56650463713974,10796101,SALE
1648,4,Bellandur,URBAN,12,Semi-Furnished,12.95579843496533,77.67245158052972,12485447,SALE
3454,4,Indiranagar,URBAN,4,Furnished,12.893872499917592,77.75040706786031,104509,RENT
4998,5,Whitefield,URBAN,23,Semi-Furnished,13.012359560900832,77.42059027362686,25255675,SALE
4433,4,Whitefield,URBAN,3,Furnished,13.017056707024746,77.52040787041085,31652878,SALE
2397,3,Indiranagar,URBAN,20,Unfurnished,12.89963210346134,77.62759433918579,53761,RENT
4087,4,Koramangala,URBAN,14,Furnished,13.000736205070028,77.64732523255047,112124,RENT
2551,5,Bellandur,RURAL,11,Semi-Furnished,12.877602572083848,77.42801097539994,39477,RENT
4418,5,Indiranagar,URBAN,18,Unfurnished,13.018152117872646,77.66563149513684,34553079,SALE
3510,5,Electronic City,URBAN,20,Furnished,12.804823143663567,77.61122574624343,52962,RENT
2370,4,HSR Layout,URBAN,27,Furnished,12.845482630095594,77.73105095174486,53675,RENT
597,1,Indiranagar,URBAN,18,Furnished,12.873502598572232,77.48887567048332,21167,RENT
3026,4,Whitefield,RURAL,20,Semi-Furnished,13.031880646095951,77.47801079400875,34222,RENT
1602,2,Whitefield,URBAN,10,Semi-Furnished,12.819912875925324,77.71733488877118,9749641,SALE
2435,3,Indiranagar,URBAN,29,Furnished,12.85641714311466,77.68154765157584,56457,RENT
877,2,HSR Layout,URBAN,20,Furnished,12.907587231651558,77.71666934423106,27701,RENT
1654,3,Indiranagar,URBAN,5,Unfurnished,12.802752498245875,77.71277365641123,16612535,SALE
1322,2,HSR Layout,URBAN,8,Semi-Furnished,13.028636292612322,77.44160027033219,11732053,SALE
819,2,HSR Layout,URBAN,0,Semi-Furnished,12.96803154490164,77.51143321891966,24443,RENT
2604,4,Electronic City,URBAN,11,Unfurnished,13.070203816106005,77.50403405445458,13299911,SALE
2997,4,Bellandur,RURAL,25,Furnished,12.809309309763485,77.77383491256673,38780,RENT
1520,4,Whitefield,RURAL,13,Furnished,12.881417205129896,77.59498662962014,8357582,SALE
3468,4,Whitefield,URBAN,5,Unfurnished,13.01937549723101,77.44442285308001,20434837,SALE
1350,3,HSR Layout,RURAL,0,Furnished,13.002544825834692,77.51583116237201,31855,RENT
2736,4,Whitefield,URBAN,21,Furnished,12.872917232181413,77.74876065940659,18552659,SALE
2643,4,Koramangala,URBAN,1,Unfurnished,12.978706320490419,77.73882655126613,28431161,SALE
3045,4,HSR Layout,URBAN,23,Unfurnished,13.038127295932325,77.76013579337621,58422,RENT
2257,3,Whitefield,URBAN,10,Unfurnished,12.810014211000386,77.55541150909481,39303,RENT
2265,3,Koramangala,URBAN,2,Furnished,13.015288519060825,77.656536384596,28587304,SALE
3312,4,Electronic City,URBAN,9,Unfurnished,12.875629119534192,77.51126956795014,15748107,SALE
3253,4,Whitefield,URBAN,29,Furnished,13.08435538656024,77.47233013246095,52216,RENT
3628,5,Koramangala,URBAN,5,Semi-Furnished,12.961466066408333,77.40876043037055,35904958,SALE
4119,5,Indiranagar,URBAN,5,Semi-Furnished,12.810015854789386,77.48937637987575,114445,RENT
3628,5,Bellandur,URBAN,19,Unfurnished,12.921029185634767,77.64174965475691,21670550,SALE
2771,3,Indiranagar,RURAL,20,Furnished,13.089893557465846,77.76168412544271,17054909,SALE
3291,4,Koramangala,URBAN,1,Furnished,13.019111897973264,77.45336822128618,117989,RENT
4156,5,HSR Layout,URBAN,25,Furnished,12.89014370110594,77.76720462438618,85742,RENT
4625,5,HSR Layout,URBAN,25,Unfurnished,12.97258018829416,77.53815409394869,29639961,SALE
494,1,Whitefield,URBAN,23,Furnished,12.97973040668588,77.57073136304572,4466742,SALE
3074,4,Indiranagar,URBAN,9,Furnished,12.807004448234963,77.5459914161875,31984592,SALE
2355,3,HSR Layout,URBAN,22,Furnished,12.853650008374768,77.56344325596788,19188470,SALE
1193,1,HSR Layout,RURAL,25,Semi-Furnished,12.96553308149367,77.50367725967507,15412,RENT
2234,3,Indiranagar,URBAN,5,Furnished,12.920825767547207,77.67944187132457,25676012,SALE
2516,4,Electronic City,RURAL,22,Semi-Furnished,12.85701134435605,77.70327324410806,8246108,SALE
4506,5,HSR Layout,URBAN,27,Furnished,13.03180062045925,77.72924515634091,95604,RENT
3725,5,Bellandur,URBAN,16,Furnished,12.94669846420363,77.53651583334398,78655,RENT
3319,4,Koramangala,RURAL,29,Furnished,12.892991942710054,77.70585075641112,65580,RENT
2997,4,Whitefield,URBAN,13,Semi-Furnished,12.848503203924725,77.65507014299072,20538358,SALE
3605,5,HSR Layout,URBAN,4,Furnished,12.98334900883749,77.78316643473616,112279,RENT
1214,2,Bellandur,URBAN,22,Unfurnished,12.999878390798411,77.56991406667942,22717,RENT
745,1,Bellandur,RURAL,16,Furnished,13.000879164973128,77.79692389115334,4632577,SALE
2749,4,HSR Layout,URBAN,1,Semi-Furnished,12.866086208086612,77.69615761200315,72262,RENT
762,1,Electronic City,URBAN,8,Semi-Furnished,12.978601522166706,77.7105111019836,13860,RENT
2843,3,Koramangala,URBAN,11,Unfurnished,13.071621939457527,77.41028194404387,25927070,SALE
2665,4,Whitefield,RURAL,18,Unfurnished,12.905956280228896,77.59895934053444,28149,RENT
2588,4,HSR Layout,URBAN,21,Unfurnished,12.863230079792555,77.61133468492481,17713904,SALE
3405,4,Whitefield,URBAN,6,Semi-Furnished,13.031644854806228,77.41624004076824,66069,RENT
3681,4,Indiranagar,URBAN,8,Furnished,12.853064882047835,77.52485248939622,114744,RENT
1384,2,Bellandur,URBAN,20,Furnished,12.876124616118467,77.78225767225112,34819,RENT
2039,3,Bellandur,URBAN,15,Unfurnished,12.83019331829359,77.57044457454406,13347149,SALE
1227,2,HSR Layout,URBAN,19,Unfurnished,12.880362294822401,77.47468079382332,27293,RENT
3130,4,HSR Layout,URBAN,10,Furnished,12.923100519864494,77.60533548281056,80514,RENT
